Story,Protocol,Aspect,Agreement,Scope,Answer
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,0
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,0
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,0
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,0
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,0
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Nonisomorphic,0
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,0
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Isomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,0
Repetition,One,Pfv,Default,Nonisomorphic,0
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,1
Repetition,One,Pfv,Default,Nonisomorphic,0
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,1
Seminar,Two,Pfv,Plural,Isomorphic,0
Seminar,Two,Pfv,Plural,Isomorphic,0
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,0
Seminar,Two,Pfv,Plural,Nonisomorphic,0
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Seminar,Two,Pfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,0
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,1
Test,Two,Ipfv,Plural,Isomorphic,0
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,0
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Test,Two,Ipfv,Plural,Nonisomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,0
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,0
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Isomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,0
Bar,Two,Pfv,Default,Nonisomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,0
Bar,Two,Pfv,Default,Nonisomorphic,0
Bar,Two,Pfv,Default,Nonisomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,0
Bar,Two,Pfv,Default,Nonisomorphic,0
Bar,Two,Pfv,Default,Nonisomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,0
Bar,Two,Pfv,Default,Nonisomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,1
Bar,Two,Pfv,Default,Nonisomorphic,0
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,0
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Isomorphic,0
Repetition,Two,Ipfv,Default,Isomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,0
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,0
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Repetition,Two,Ipfv,Default,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,1
Seminar,Three,Ipfv,Plural,Isomorphic,0
Seminar,Three,Ipfv,Plural,Isomorphic,0
Seminar,Three,Ipfv,Plural,Isomorphic,0
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,0
Seminar,Three,Ipfv,Plural,Nonisomorphic,0
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,0
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Seminar,Three,Ipfv,Plural,Nonisomorphic,1
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,0
Test,Three,Pfv,Default,Isomorphic,0
Test,Three,Pfv,Default,Isomorphic,0
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,0
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,0
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Isomorphic,0
Test,Three,Pfv,Default,Isomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,0
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,0
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,0
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,0
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,1
Test,Three,Pfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,0
Bar,Three,Ipfv,Default,Isomorphic,0
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,0
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,0
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Isomorphic,0
Bar,Three,Ipfv,Default,Isomorphic,0
Bar,Three,Ipfv,Default,Isomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,0
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,0
Bar,Three,Ipfv,Default,Nonisomorphic,0
Bar,Three,Ipfv,Default,Nonisomorphic,0
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,0
Bar,Three,Ipfv,Default,Nonisomorphic,0
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,1
Bar,Three,Ipfv,Default,Nonisomorphic,0
Repetition,Three,Pfv,Plural,Isomorphic,0
Repetition,Three,Pfv,Plural,Isomorphic,0
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,0
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,0
Repetition,Three,Pfv,Plural,Isomorphic,0
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Isomorphic,0
Repetition,Three,Pfv,Plural,Isomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,0
Repetition,Three,Pfv,Plural,Nonisomorphic,0
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,0
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,0
Repetition,Three,Pfv,Plural,Nonisomorphic,0
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,0
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,1
Repetition,Three,Pfv,Plural,Nonisomorphic,0
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,1
Seminar,Four,Pfv,Default,Isomorphic,0
Seminar,Four,Pfv,Default,Isomorphic,0
Seminar,Four,Pfv,Default,Isomorphic,0
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,0
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,0
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,0
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Seminar,Four,Pfv,Default,Nonisomorphic,1
Test,Four,Ipfv,Default,Isomorphic,1
Test,Four,Ipfv,Default,Isomorphic,1
Test,Four,Ipfv,Default,Isomorphic,1
Test,Four,Ipfv,Default,Isomorphic,1
Test,Four,Ipfv,Default,Isomorphic,1
Test,Four,Ipfv,Default,Isomorphic,1
Test,Four,Ipfv,Default,Isomorphic,0
Test,Four,Ipfv,Default,Isomorphic,1
